English,French,nllb-200-distilled-600M
Two men wearing hats.,Deux hommes portant des bonnets.,Deux hommes en chapeaux.
A crowd is present at a bar.,Une foule se trouve dans un bar.,Une foule est présente dans un bar.
A man is using electronic equipment.,Un homme utilise du matériel électronique.,Un homme utilise des équipements électroniques.
An army officer is inspecting something.,Un officier de l'armée inspecte quelque chose.,Un officier de l'armée inspecte quelque chose.
Oregon percussionists are marching with the band.,Des percussionnistes de l'Oregon défilent avec la fanfare.,Des percussionnistes de l'Oregon marchent avec le groupe.
A person is playing an unique instrument.,Une personne joue d'un instrument unique.,Une personne joue un instrument unique.
A deer jumps a fence.,Un chevreuil saute par-dessus une clôture.,Je suis un déer.
Two young children are on sand.,Deux jeunes enfants sont sur le sable.,Deux jeunes enfants sont sur le sable.
A man standing on a city street.,Un homme debout dans une rue en ville.,Un homme debout sur une rue de la ville.
Hockey player in white uniform with stick,Un joueur de hockey en tenue blanche avec une crosse,Joueur de hockey en uniforme blanc avec un bâton
Two guys and a girl smiling.,Deux gars et une fille souriant.,Deux gars et une fille souriante.
A woman is playing volleyball.,Une femme joue au volley.,Une femme joue au volleyball.
A brown dog jumping over a hurdle.,Un chien brun sautant par-dessus un obstacle.,Un chien brun sautant sur un obstacle.
A rock concert is taking place.,Un concert de rock a lieu.,Un concert de rock est en cours.
Two bald drag queens in red dresses,Deux drag queens chauves en robes rouges,Deux reines de drag à cheveux rouges
Two guys with nipple piercings are smiling.,Deux gars avec des piercings au téton sourient.,Deux gars avec des piercings de mamelon sont souriants.
Several men standing around an antique race car,Plusieurs hommes debout autour d'une vieille voiture de course,Plusieurs hommes debout autour d'une ancienne voiture de course
Man in shorts standing by the water.,Un homme en short debout au bord de l'eau.,Un homme en shorts debout près de l'eau.
A crane operates amidst piles of rubble.,Une grue travaille au milieu des amas de décombres.,Une grue opère au milieu de piles de débris.
Police officer watching woman exit from bus.,Un agent de police regardant une femme sortir du bus.,Un policier qui observe une femme sortir du bus.
A child is on a motorcycle smiling.,Un enfant est sur une moto en souriant.,Un enfant est un motocycle souriant.
Young woman climbing rock face,Une jeune femme escaladant une paroi rocheuse,Jeune femme grimpant face au rocher
Two men sitting in a restaurant.,Deux hommes assis dans un restaurant.,Deux hommes assis dans un restaurant.
Man carrying a few cases of beer.,Un homme portant quelques packs de bières.,Un homme portant quelques boîtes de bière.
Some plants are growing near the window.,Des plantes poussent près de la fenêtre.,Certaines plantes poussent près de la fenêtre.
Two groups of swimmers wade out.,Deux groupes de baigneurs barbotent dehors.,Deux groupes de nageurs sont sortis.
Firemen emerge from a subway station.,Des pompiers sortent d'une station de métro.,Des pompiers émergent d'une station de métro.
Doctors performing some type of surgery.,Des médecins faisant une sorte d'opération chirurgicale.,Des médecins effectuant une sorte de chirurgie.
Two individual climbing up a steep mountain.,Deux individus escaladant une montagne escarpée.,Deux individus montent sur une montagne raide.
Construction workers picketing against PM Construction Services.,Des ouvriers du bâtiment manifestant contre PM Construction Services.,Des travailleurs de la construction qui font un piquetage contre les services de construction du PM.
Two nuns are posing for a picture.,Deux religieuses posent pour une photo.,Deux religieuses posent pour une photo.
People are admiring a work of art.,Des gens admirent une œuvre d'art.,Les gens admirent une œuvre d'art.
A boy stands with three girls.,Un garçon est debout avec trois filles.,Un garçon se tient avec trois filles.
Three girls are smiling for a picture.,Trois jeunes filles sourient pour une photo.,Trois filles souriantes pour une photo.
Two boys are playing on the sidewalk.,Deux garçons jouent sur le trottoir.,Deux garçons jouent sur le trottoir.
Crowds of people are all riding bicycles.,"Une foule de gens, tous sur des vélos.",Des foules de gens sont tous à vélo.
3 men cooking in a small kitchen.,Trois hommes cuisinant dans une petite cuisine.,Trois hommes cuisinant dans une petite cuisine.
A group of village women gathered in dance,Un groupe de villageoises réunies pour danser,Un groupe de femmes du village rassemblées dans la danse
Two children are playing on a bicycle.,Deux enfants jouent sur un vélo.,Deux enfants jouent à un vélo.
The spelunker finds water during his trek.,Le spéléologue trouve de l'eau durant son périple.,Le Spelunker trouve de l'eau pendant son trek.
Three men are cooking in a kitchen.,Trois hommes cuisinent dans une cuisine.,Trois hommes cuisinent dans une cuisine.
A yellow bulldozer working to move dirt.,Un bulldozer jaune déplaçant de la terre.,Un bulldozer jaune qui travaille pour déplacer la saleté.
A girl plays in a small pool.,Une fille joue dans une petite piscine.,Une fille joue dans une petite piscine.
Men play soccer on a muddy field.,Des hommes jouent au football sur un terrain boueux.,On joue au football.
A group of people talking at tables.,Un groupe de personnes parlant à des tables.,Un groupe de gens qui parlent à des tables.
Two boys play soccer against each other.,Deux garçons jouent au football l'un contre l'autre.,Deux garçons jouent au football l'un contre l'autre.
People playing a game in the pool.,Des gens jouant à un jeu dans la piscine.,Des gens jouant à un jeu dans la piscine.
Two cars are driving on a racetrack.,Deux voitures roulent sur un circuit.,Deux voitures sont en train de conduire sur une piste.
